book,prop,gate,hr,n,hits,wilson_low,lift_vs_base,base_hr,train_hr,train_n,oos_hr,oos_n,ticket_clear,oos_ticket_clear
Goblin OVER,earned_runs,L10>=8 + opp_bats_Strong,0.8407,364,306,0.7995,0.1305,0.7102,0.7361,72,0.8664,292,True,True
Goblin OVER,walks_allowed,L10>=8 + line_0.5,0.8283,699,579,0.7986,0.0893,0.739,0.7826,207,0.8476,492,True,True
Goblin OVER,pitching_outs,L5=5 + opp_pitch_stingy + season_cush>=1,0.8804,92,81,0.7985,0.1781,0.7023,0.7857,28,0.9219,64,True,True
Goblin OVER,pitching_outs,L10>=9 + season_cush>=1,0.848,250,212,0.7983,0.1457,0.7023,0.8491,53,0.8477,197,True,True
Goblin OVER,earned_runs,L5>=4 + season_cush>=2,0.8441,295,249,0.7983,0.1339,0.7102,0.8065,62,0.8541,233,True,True
Goblin OVER,walks_allowed,L5=5 + own_bats_Strong + cover>=1,0.8776,98,86,0.7981,0.1386,0.739,0.875,16,0.878,82,True,True
Goblin OVER,pitcher_ks,L10>=8 + cover>=0.5,0.8324,525,437,0.798,0.1348,0.6976,0.7949,117,0.8431,408,True,True
Goblin OVER,pitching_outs,L5=5 + own_pitch_leaky + season_cush>=1,0.875,104,91,0.7978,0.1727,0.7023,0.75,28,0.9211,76,True,True
Goblin OVER,hits_allowed,L10>=9 + cover>=1,0.8689,122,106,0.7975,0.1731,0.6958,0.7692,26,0.8958,96,True,True
Goblin OVER,pitcher_ks,L5=5 + own_bats_Strong,0.8491,232,197,0.7974,0.1515,0.6976,0.7573,103,0.9225,129,True,True
Goblin OVER,pitcher_ks,L5=5 + opp_pitch_stingy,0.8448,277,234,0.7974,0.1472,0.6976,0.7937,126,0.8874,151,True,True
Goblin OVER,pitcher_ks,L5=5 + own_pitch_leaky + season_cush>=1,0.8589,163,140,0.7972,0.1613,0.6976,0.775,40,0.8862,123,True,True
Goblin OVER,pitcher_ks,L5=5 + opp_bats_Strong,0.845,271,229,0.7971,0.1474,0.6976,0.7603,121,0.9133,150,True,True
Goblin OVER,pitcher_ks,L10=10 + season_cush>=1,0.8556,180,154,0.7968,0.158,0.6976,0.8421,38,0.8592,142,True,True
Goblin OVER,earned_runs,L10>=8 + own_pitch_stingy + cover>=1,0.8505,214,182,0.7965,0.1403,0.7102,0.8636,44,0.8471,170,True,True
Goblin OVER,hits_allowed,L10>=8 + opp_pitch_leaky + season_cush>=1,0.8489,225,191,0.7963,0.1531,0.6958,0.8246,57,0.8571,168,True,True
Goblin OVER,pitcher_ks,L5=5 + L10>=8 + own_pitch_leaky,0.8647,133,115,0.7962,0.1671,0.6976,0.75,28,0.8952,105,True,True
Goblin OVER,walks_allowed,L10=10,0.8661,127,110,0.7961,0.1271,0.739,0.8,30,0.8866,97,True,True
Goblin OVER,hits_allowed,L10>=8 + season_cush>=1,0.8283,600,497,0.7961,0.1325,0.6958,0.7943,141,0.8388,459,True,True
Goblin OVER,pitcher_ks,cover>=0.5,0.8236,822,677,0.7961,0.126,0.6976,0.823,226,0.8238,596,True,True
Goblin OVER,hits_allowed,L10=10,0.859,156,134,0.7957,0.1632,0.6958,0.8,30,0.873,126,True,True
Goblin OVER,walks_allowed,L5>=4 + cover>=0.5,0.8288,549,455,0.795,0.0898,0.739,0.8227,141,0.8309,408,True,True
Goblin OVER,earned_runs,L10>=8 + cover>=0.5,0.8272,602,498,0.795,0.117,0.7102,0.8033,122,0.8333,480,True,True
Goblin OVER,pitching_outs,L10>=9,0.8329,431,359,0.7948,0.1306,0.7023,0.8421,95,0.8304,336,True,True
Goblin OVER,walks_allowed,L10>=9 + cover>=2,0.8539,178,152,0.7946,0.1149,0.739,0.7419,31,0.8776,147,True,True
Goblin OVER,earned_runs,L5=5 + L10>=8 + own_pitch_leaky,0.8651,126,109,0.7945,0.1549,0.7102,0.8077,26,0.88,100,True,True
Goblin OVER,earned_runs,season_cush>=2,0.8367,349,292,0.7943,0.1265,0.7102,0.7831,83,0.8534,266,True,True
Goblin OVER,earned_runs,L10>=8 + season_cush>=2,0.8419,272,229,0.7938,0.1317,0.7102,0.7857,56,0.8565,216,True,True
Goblin OVER,walks_allowed,L10>=8 + cover>=0.5,0.8325,418,348,0.7937,0.0935,0.739,0.8416,101,0.8297,317,True,True
Goblin OVER,earned_runs,L5>=4 + cover>=1,0.822,753,619,0.7931,0.1118,0.7102,0.816,163,0.8237,590,True,True
