player,player_norm,gsis_id,pfr_player_id,team,position,season,as_of_week,games,snap_pct_L3,snap_pct_season,wopr_L3,wopr_season,target_share_L3,target_share_season,air_yards_share_L3,route_pct_L3,route_pct_season,route_pct_source,targets_L3,receptions_L3
Javonte Williams,javonte williams,00-0036997,WillJa10,DAL,RB,2026,1,1,71.0,71.0,0.2251,0.2251,0.1667,0.1667,-0.0356,71.0,71.0,snap_proxy,5,5
Brevyn Spann-Ford,brevyn spann ford,00-0039530,SpanBr00,DAL,TE,2026,1,1,22.0,22.0,0.1136,0.1136,0.0667,0.0667,0.0194,22.0,22.0,snap_proxy,2,2
Jake Ferguson,jake ferguson,00-0038041,FergJa00,DAL,TE,2026,1,1,76.0,76.0,0.1136,0.1136,0.0667,0.0667,0.0194,76.0,76.0,snap_proxy,2,2
Luke Schoonmaker,luke schoonmaker,00-0038547,SchoLu00,DAL,TE,2026,1,1,22.0,22.0,0.0772,0.0772,0.0333,0.0333,0.0388,22.0,22.0,snap_proxy,1,1
Jonathan Mingo,jonathan mingo,00-0039062,MingJo00,DAL,WR,2026,1,1,19.0,19.0,0.0749,0.0749,0.0333,0.0333,0.0356,19.0,19.0,snap_proxy,1,1
KaVontae Turpin,kavontae turpin,00-0037801,TurpKa00,DAL,WR,2026,1,1,14.0,14.0,0.0523,0.0523,0.0333,0.0333,0.0032,14.0,14.0,snap_proxy,1,1
Emari Demercado,emari demercado,00-0038705,DemeEm00,DAL,RB,2026,1,1,9.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,snap_proxy,0,0
Hunter Luepke,hunter luepke,00-0038738,LuepHu00,DAL,FB,2026,1,1,26.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,snap_proxy,0,0
Courtland Sutton,courtland sutton,00-0034348,SuttCo00,DEN,WR,2026,1,1,76.0,76.0,0.5821,0.5821,0.1852,0.1852,0.4348,76.0,76.0,snap_proxy,5,2
Pat Bryant,pat bryant,00-0040134,BryaPa00,DEN,WR,2026,1,1,59.0,59.0,0.5236,0.5236,0.2222,0.2222,0.2717,59.0,59.0,snap_proxy,6,4
Evan Engram,evan engram,00-0033881,EngrEv00,DEN,TE,2026,1,1,63.0,63.0,0.4147,0.4147,0.1852,0.1852,0.1957,63.0,63.0,snap_proxy,5,4
Troy Franklin,troy franklin,00-0039868,FranTr00,DEN,WR,2026,1,1,33.0,33.0,0.2914,0.2914,0.037,0.037,0.337,33.0,33.0,snap_proxy,1,0
Jaylen Waddle,jaylen waddle,00-0036613,WaddJa00,DEN,WR,2026,1,1,75.0,75.0,0.2656,0.2656,0.1111,0.1111,0.1413,75.0,75.0,snap_proxy,3,1
Adam Trautman,adam trautman,00-0036422,TrauAd00,DEN,TE,2026,1,1,37.0,37.0,0.1591,0.1591,0.1111,0.1111,-0.0109,37.0,37.0,snap_proxy,3,2
RJ Harvey,rj harvey,00-0040730,HarvRJ00,DEN,RB,2026,1,1,51.0,51.0,0.0548,0.0548,0.1481,0.1481,-0.2391,51.0,51.0,snap_proxy,4,4
